[2026-03-12 14:28:16.447] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 27ms
[2026-03-12 14:28:16.448] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 60ms
[2026-03-12 14:28:41.067] Controller: Auth | Action: Login | User: Anonymous | Duration: 47ms
[2026-03-12 14:28:41.468] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 32ms
[2026-03-12 14:28:41.504] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 5ms
[2026-03-12 14:28:41.468] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 44ms
[2026-03-12 14:28:41.513] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 1ms
[2026-03-12 14:28:41.513] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 5ms
[2026-03-12 14:28:41.521] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 20521ms
[2026-03-12 14:29:02.026] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 16ms
[2026-03-12 14:29:02.045] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:29:02.045] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 2ms
[2026-03-12 14:29:02.049] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:29:05.066] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 17ms
[2026-03-12 14:29:02.049] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 6800ms
[2026-03-12 14:29:08.848] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 1ms
[2026-03-12 14:29:08.852] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:29:08.852] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:29:08.855] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:29:11.694] Controller: User | Action: Get | User: tamarRotan | Duration: 6ms
[2026-03-12 14:29:54.562] Controller: User | Action: Create | User: tamarRotan | Duration: 5ms
[2026-03-12 14:29:55.932] Controller: User | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:29:59.170] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:29:59.171] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:29:59.212] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
